Timestamp,"1 - Você já foi vítima de algum tipo de abuso sexual por parte de um profissional da saúde, como toques ou comentários inapropriados?",2 - Como você se identifica?,4 - Quantos anos você tem?,3 - Qual a sua classe social?,5 - Com qual gênero você se identifica?,4 - Qual é a sua orientação sexual?,5 - Que tipo de abuso sexual você sofreu? (marque quantas forem necessárias),6 - Em que local ocorreu o abuso?,10 - Quantos anos você tinha quando o abuso aconteceu?,9 - Qual era a especialidade do profissional?,11 - Em qual estado aconteceu o abuso?,12 - Em qual cidade aconteceu o abuso?,15 - Você fez uma denúncia?,16 - Como foi a sua experiência no processo de Denúncia? (marque quantas forem necessárias)
1/13/2020 14:50:41,"Sim, por uma profissional da saúde mulher",Branca,18-25,Classe B - Renda mensal familiar até   R$ 11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Injúria (Cantadas e palavras ofensivas),Clínica particular,16-20,Ginecologista,São Paulo,São Carlos,Não,
1/21/2020 2:05:15,"Sim, por uma profissional da saúde mulher",Branca,31-35,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Injúria (Cantadas e palavras ofensivas),Hospital público,16-20,Enfermeira chefe,Rio de Janeiro,Nova Friburgo RJ,Não,
1/22/2020 14:04:52,"Sim, por uma profissional da saúde mulher",Parda,18-25,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,,Clínica particular,16-20,Ginecologia,Bahia,Salvador,Não,
1/24/2020 11:33:50,"Sim, por uma profissional da saúde mulher",Parda,18-25,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,"Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico), Injúria (Cantadas e palavras ofensivas)",Clínica particular,16-20,Ginecologista,Pernambuco,Caruaru,Não,
9/30/2020 15:51:47,"Sim, por um profissional da saúde homem",Branca,18-25,Classe C - Renda mensal familiar até    R$ 8.640,"Homem Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,18-30,Clínico Geral,Santa Catarina,Florianópolis,Não,
10/7/2020 16:58:59,"Sim, por um profissional da saúde homem",Branca,26-30,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,18-30,nutrologo,São Paulo,são paulo,Sim,Prefiro não falar sobre o assunto
11/10/2020 22:25:43,"Sim, por um profissional da saúde homem",Branca,31-35,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital público,18-30,Clínico Geral,São Paulo,São Paulo,Não,
12/14/2020 18:19:36,"Sim, por um profissional da saúde homem",Parda,26-30,Classe C - Renda mensal familiar até    R$ 8.640,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,18-30,Dermatologista,Distrito Federal,Exterior - Quito - Equador,Não,
2/13/2020 10:07:24,"Sim, por um profissional da saúde homem",Branca,18-25,Classe D - Renda mensal familiar até   R$ 2.004,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Bissexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Hospital público,20-30,Endocrinologia,São Paulo,Piracicaba,,
2/17/2020 17:22:23,"Sim, por um profissional da saúde homem",Branca,31-35,Classe A - Renda mensal familiar acima de R$11.261,"Mulher Cis (me identifico, em todos os aspectos, com o meu “gênero de nascença”.)",Heterossexual,Violação sexual mediante fraude (Tocar de maneira imprópria fazendo a paciente pensar que era parte do procedimento médico),Clínica particular,20-30,Cirurgiao Plastico,Piauí,Curitiba,Sim,Os profissionais de atendimento descredibilizaram o meu relato
